symbol,date,price
MSFT,Nov 1 2004,63.37
MSFT,Dec 1 2004,68.52
MSFT,Jan 1 2005,74.67
MSFT,Feb 1 2005,68.45
MSFT,Mar 1 2005,70.67
MSFT,Apr 1 2005,73.72
MSFT,May 1 2005,68.53
MSFT,Jun 1 2005,66.33
MSFT,Jul 1 2005,67.25
MSFT,Aug 1 2005,63.45
MSFT,Sep 1 2005,59.73
MSFT,Oct 1 2005,56.66
MSFT,Nov 1 2005,58.94
MSFT,Dec 1 2005,63.67
MSFT,Jan 1 2006,69.52
MSFT,Feb 1 2006,68.67
MSFT,Mar 1 2006,65.55
MSFT,Apr 1 2006,66.89
MSFT,May 1 2006,66.9
MSFT,Jun 1 2006,67.23
MSFT,Jul 1 2006,65.56
MSFT,Aug 1 2006,64.37
MSFT,Sep 1 2006,58.95
MSFT,Oct 1 2006,63.46
MSFT,Nov 1 2006,61.68
MSFT,Dec 1 2006,64.94
MSFT,Jan 1 2007,64.99
MSFT,Feb 1 2007,68.28
MSFT,Mar 1 2007,71.01
MSFT,Apr 1 2007,73.75
MSFT,May 1 2007,77.42
MSFT,Jun 1 2007,73.99
MSFT,Jul 1 2007,70.27
MSFT,Aug 1 2007,73.91
MSFT,Sep 1 2007,76.9
MSFT,Oct 1 2007,83.9
MSFT,Nov 1 2007,79.35
MSFT,Dec 1 2007,83.21
MSFT,Jan 1 2008,79.81
MSFT,Feb 1 2008,87.02
MSFT,Mar 1 2008,89.1
MSFT,Apr 1 2008,85.34
MSFT,May 1 2008,78.52
MSFT,Jun 1 2008,85.1
MSFT,Jul 1 2008,90.78
MSFT,Aug 1 2008,86.27
MSFT,Sep 1 2008,87.85
MSFT,Oct 1 2008,80.45
MSFT,Nov 1 2008,83.35
MSFT,Dec 1 2008,89.6
MSFT,Jan 1 2009,84.1
MSFT,Feb 1 2009,83.47
MSFT,Mar 1 2009,83.33
MSFT,Apr 1 2009,80.75
MSFT,May 1 2009,82.03
MSFT,Jun 1 2009,81.29
MSFT,Jul 1 2009,80.06
MSFT,Aug 1 2009,75.53
MSFT,Sep 1 2009,81.34
MSFT,Oct 1 2009,80.41
MSFT,Nov 1 2009,73.67
MSFT,Dec 1 2009,67.95
AAPL,Jan 1 2000,25.72
AAPL,Feb 1 2000,25.68
AAPL,Mar 1 2000,27.27
AAPL,Apr 1 2000,26.87
AAPL,May 1 2000,25.11
AAPL,Jun 1 2000,27.59
AAPL,Jul 1 2000,29.68
AAPL,Aug 1 2000,30.87
AAPL,Sep 1 2000,29.34
AAPL,Oct 1 2000,30.22
AAPL,Nov 1 2000,29.21
AAPL,Dec 1 2000,30.63
AAPL,Jan 1 2001,31.15
AAPL,Feb 1 2001,33.61
AAPL,Mar 1 2001,32.07
AAPL,Apr 1 2001,30.19
AAPL,May 1 2001,28.58
AAPL,Jun 1 2001,30.22
AAPL,Jul 1 2001,29.11
AAPL,Aug 1 2001,29.38
AAPL,Sep 1 2001,29.16
AAPL,Oct 1 2001,29.02
AAPL,Nov 1 2001,29.96
AAPL,Dec 1 2001,30.78
AAPL,Jan 1 2002,30.97
AAPL,Feb 1 2002,33.26
AAPL,Mar 1 2002,34.58
AAPL,Apr 1 2002,36.06
AAPL,May 1 2002,36.23
AAPL,Jun 1 2002,37.29
AAPL,Jul 1 2002,39.46
AAPL,Aug 1 2002,40.67
AAPL,Sep 1 2002,39.08
AAPL,Oct 1 2002,36.56
AAPL,Nov 1 2002,36.03
AAPL,Dec 1 2002,35.38
AAPL,Jan 1 2003,39.3
AAPL,Feb 1 2003,38.97
AAPL,Mar 1 2003,40.26
AAPL,Apr 1 2003,42.71
AAPL,May 1 2003,44.29
AAPL,Jun 1 2003,46.65
AAPL,Jul 1 2003,51.04
AAPL,Aug 1 2003,49.04
AAPL,Sep 1 2003,52.75
AAPL,Oct 1 2003,54.87
AAPL,Nov 1 2003,55.83
AAPL,Dec 1 2003,59.53
AAPL,Jan 1 2004,58.18
AAPL,Feb 1 2004,62.28
AAPL,Mar 1 2004,61.27
AAPL,Apr 1 2004,63.91
AAPL,May 1 2004,68.64
AAPL,Jun 1 2004,75.92
AAPL,Jul 1 2004,78.78
AAPL,Aug 1 2004,84.44
AAPL,Sep 1 2004,82.52
AAPL,Oct 1 2004,84.65
AAPL,Nov 1 2004,88.13
AAPL,Dec 1 2004,95.21
AAPL,Jan 1 2005,92.04
AAPL,Feb 1 2005,92.46
AAPL,Mar 1 2005,101.31
AAPL,Apr 1 2005,94.57
AAPL,May 1 2005,95.33
AAPL,Jun 1 2005,99.38
AAPL,Jul 1 2005,107.87
AAPL,Aug 1 2005,107.01
AAPL,Sep 1 2005,109.65
AAPL,Oct 1 2005,115.46
AAPL,Nov 1 2005,126.89
AAPL,Dec 1 2005,133.04
AAPL,Jan 1 2006,140.32
AAPL,Feb 1 2006,138.16
AAPL,Mar 1 2006,129.06
AAPL,Apr 1 2006,141.63
AAPL,May 1 2006,148.43
AAPL,Jun 1 2006,153.56
AAPL,Jul 1 2006,164.52
AAPL,Aug 1 2006,158.34
AAPL,Sep 1 2006,158.92
AAPL,Oct 1 2006,155.58
AAPL,Nov 1 2006,166.51
AAPL,Dec 1 2006,177.47
AAPL,Jan 1 2007,165.64
AAPL,Feb 1 2007,183.63
AAPL,Mar 1 2007,203.11
AAPL,Apr 1 2007,221.84
AAPL,May 1 2007,239.84
AAPL,Jun 1 2007,240.7
AAPL,Jul 1 2007,257.52
AAPL,Aug 1 2007,278.97
AAPL,Sep 1 2007,299.59
AAPL,Oct 1 2007,319.71
AAPL,Nov 1 2007,338.62
AAPL,Dec 1 2007,367.44
AAPL,Jan 1 2008,383.75
AAPL,Feb 1 2008,376.82
AAPL,Mar 1 2008,381.43
AAPL,Apr 1 2008,417.37
AAPL,May 1 2008,405.09
AAPL,Jun 1 2008,404.07
AAPL,Jul 1 2008,430.22
AAPL,Aug 1 2008,401.99
AAPL,Sep 1 2008,403.17
AAPL,Oct 1 2008,412.88
AAPL,Nov 1 2008,416.93
AAPL,Dec 1 2008,417.14
AAPL,Jan 1 2009,456.36
AAPL,Feb 1 2009,461.38
AAPL,Mar 1 2009,494.22
AAPL,Apr 1 2009,529.36
AAPL,May 1 2009,524.76
AAPL,Jun 1 2009,573.88
AAPL,Jul 1 2009,585.74
AAPL,Aug 1 2009,642.1
AAPL,Sep 1 2009,628.07
AAPL,Oct 1 2009,589.5
AAPL,Nov 1 2009,600.61
AAPL,Dec 1 2009,643.87
IBM,Jan 1 2000,107.54
IBM,Feb 1 2000,105.7
IBM,Mar 1 2000,97.6
IBM,Apr 1 2000,89.87
IBM,May 1 2000,97.68
IBM,Jun 1 2000,102.95
IBM,Jul 1 2000,94.78
IBM,Aug 1 2000,87.76
IBM,Sep 1 2000,89.47
IBM,Oct 1 2000,95.28
IBM,Nov 1 2000,91.8
IBM,Dec 1 2000,87.99
IBM,Jan 1 2001,88.17
IBM,Feb 1 2001,92.9
IBM,Mar 1 2001,88.62
IBM,Apr 1 2001,89.18
IBM,May 1 2001,93.21
IBM,Jun 1 2001,96.06
IBM,Jul 1 2001,100.03
IBM,Aug 1 2001,97.4
IBM,Sep 1 2001,101.58
IBM,Oct 1 2001,99.77
IBM,Nov 1 2001,93.22
IBM,Dec 1 2001,95.05
IBM,Jan 1 2002,93.26
IBM,Feb 1 2002,87.07
IBM,Mar 1 2002,87.11
IBM,Apr 1 2002,80.45
IBM,May 1 2002,81.75
IBM,Jun 1 2002,85.44
IBM,Jul 1 2002,82.86
IBM,Aug 1 2002,82.11
IBM,Sep 1 2002,78.34
IBM,Oct 1 2002,80.69
IBM,Nov 1 2002,74.93
IBM,Dec 1 2002,70.04
IBM,Jan 1 2003,73.4
IBM,Feb 1 2003,68.8
IBM,Mar 1 2003,72.02
IBM,Apr 1 2003,68.74
IBM,May 1 2003,70.76
IBM,Jun 1 2003,75.21
IBM,Jul 1 2003,77.94
IBM,Aug 1 2003,77.77
IBM,Sep 1 2003,78.14
IBM,Oct 1 2003,74.64
IBM,Nov 1 2003,68.27
IBM,Dec 1 2003,73.72
IBM,Jan 1 2004,76.83
IBM,Feb 1 2004,73.28
IBM,Mar 1 2004,67.28
IBM,Apr 1 2004,72.23
IBM,May 1 2004,72.67
IBM,Jun 1 2004,66.57
IBM,Jul 1 2004,64.75
IBM,Aug 1 2004,61.74
IBM,Sep 1 2004,60.55
IBM,Oct 1 2004,55.65
IBM,Nov 1 2004,59.78
IBM,Dec 1 2004,64.57
IBM,Jan 1 2005,67.59
IBM,Feb 1 2005,69.15
IBM,Mar 1 2005,63.43
IBM,Apr 1 2005,68.28
IBM,May 1 2005,69.68
IBM,Jun 1 2005,70.62
IBM,Jul 1 2005,65.94
IBM,Aug 1 2005,61.48
IBM,Sep 1 2005,61.06
IBM,Oct 1 2005,65.77
IBM,Nov 1 2005,66.47
IBM,Dec 1 2005,66.4
IBM,Jan 1 2006,68.33
IBM,Feb 1 2006,68.34
IBM,Mar 1 2006,64.16
IBM,Apr 1 2006,64.17
IBM,May 1 2006,60.84
IBM,Jun 1 2006,66.55
IBM,Jul 1 2006,61.97
IBM,Aug 1 2006,57.69
IBM,Sep 1 2006,56.72
IBM,Oct 1 2006,61.56
IBM,Nov 1 2006,58.56
IBM,Dec 1 2006,58.67
IBM,Jan 1 2007,63.85
IBM,Feb 1 2007,63.11
IBM,Mar 1 2007,67.16
IBM,Apr 1 2007,71.75
IBM,May 1 2007,74.36
IBM,Jun 1 2007,74.51
IBM,Jul 1 2007,68.4
IBM,Aug 1 2007,63.88
IBM,Sep 1 2007,62.18
IBM,Oct 1 2007,58.74
IBM,Nov 1 2007,59.64
IBM,Dec 1 2007,58.26
IBM,Jan 1 2008,61.64
IBM,Feb 1 2008,63.91
IBM,Mar 1 2008,58.82
IBM,Apr 1 2008,57.5
IBM,May 1 2008,58.91
IBM,Jun 1 2008,60.84
IBM,Jul 1 2008,56.19
IBM,Aug 1 2008,56.77
IBM,Sep 1 2008,61.55
IBM,Oct 1 2008,64.32
IBM,Nov 1 2008,61.95
IBM,Dec 1 2008,57.04
IBM,Jan 1 2009,54.59
IBM,Feb 1 2009,52.98
IBM,Mar 1 2009,57.02
IBM,Apr 1 2009,61.99
IBM,May 1 2009,65.61
IBM,Jun 1 2009,69.03
IBM,Jul 1 2009,72.14
IBM,Aug 1 2009,77.68
IBM,Sep 1 2009,71.52
IBM,Oct 1 2009,66.82
IBM,Nov 1 2009,72.55
IBM,Dec 1 2009,69.76
GOOG,Sep 1 2004,95.52
GOOG,Oct 1 2004,88.8
GOOG,Nov 1 2004,87.13
GOOG,Dec 1 2004,80.97
GOOG,Jan 1 2005,84.59
GOOG,Feb 1 2005,91.5
GOOG,Mar 1 2005,89.43
GOOG,Apr 1 2005,98.49
GOOG,May 1 2005,102.8
GOOG,Jun 1 2005,109.95
GOOG,Jul 1 2005,109.45
GOOG,Aug 1 2005,112.03
GOOG,Sep 1 2005,105.54
GOOG,Oct 1 2005,105.01
GOOG,Nov 1 2005,112.05
GOOG,Dec 1 2005,117.96
GOOG,Jan 1 2006,118.39
GOOG,Feb 1 2006,114.03
GOOG,Mar 1 2006,122.66
GOOG,Apr 1 2006,129.25
GOOG,May 1 2006,122.09
GOOG,Jun 1 2006,120.65
GOOG,Jul 1 2006,116.12
GOOG,Aug 1 2006,118.5
GOOG,Sep 1 2006,110.34
GOOG,Oct 1 2006,117.74
GOOG,Nov 1 2006,123.5
GOOG,Dec 1 2006,119.32
GOOG,Jan 1 2007,130.29
GOOG,Feb 1 2007,122.55
GOOG,Mar 1 2007,132.81
GOOG,Apr 1 2007,141.41
GOOG,May 1 2007,136.78
GOOG,Jun 1 2007,148.48
GOOG,Jul 1 2007,146.72
GOOG,Aug 1 2007,159.93
GOOG,Sep 1 2007,172.44
GOOG,Oct 1 2007,163.4
GOOG,Nov 1 2007,179.06
GOOG,Dec 1 2007,169.08
GOOG,Jan 1 2008,156.69
GOOG,Feb 1 2008,170.56
GOOG,Mar 1 2008,169.04
GOOG,Apr 1 2008,177.93
GOOG,May 1 2008,196.26
GOOG,Jun 1 2008,201.51
GOOG,Jul 1 2008,192.05
GOOG,Aug 1 2008,208.4
GOOG,Sep 1 2008,212.25
GOOG,Oct 1 2008,207.18
GOOG,Nov 1 2008,219.41
GOOG,Dec 1 2008,239.66
GOOG,Jan 1 2009,223.32
GOOG,Feb 1 2009,216.76
GOOG,Mar 1 2009,208.83
GOOG,Apr 1 2009,226.97
GOOG,May 1 2009,217.2
GOOG,Jun 1 2009,215.02
GOOG,Jul 1 2009,231.71
GOOG,Aug 1 2009,251.86
GOOG,Sep 1 2009,238.87
GOOG,Oct 1 2009,254.54
GOOG,Nov 1 2009,268.6
GOOG,Dec 1 2009,264.25
AMZN,Jan 1 2000,69.18
AMZN,Feb 1 2000,64.25
AMZN,Mar 1 2000,69.26
AMZN,Apr 1 2000,74.65
AMZN,May 1 2000,78.92
AMZN,Jun 1 2000,77.06
AMZN,Jul 1 2000,80.41
AMZN,Aug 1 2000,75.78
AMZN,Sep 1 2000,79.45
AMZN,Oct 1 2000,75.9
AMZN,Nov 1 2000,80.74
AMZN,Dec 1 2000,77.1
AMZN,Jan 1 2001,80.34
AMZN,Feb 1 2001,75.6
AMZN,Mar 1 2001,75.81
AMZN,Apr 1 2001,77.26
AMZN,May 1 2001,72.78
AMZN,Jun 1 2001,80.16
AMZN,Jul 1 2001,74.52
AMZN,Aug 1 2001,81.06
AMZN,Sep 1 2001,75.08
AMZN,Oct 1 2001,70.77
AMZN,Nov 1 2001,71.6
AMZN,Dec 1 2001,69.1
AMZN,Jan 1 2002,67.97
AMZN,Feb 1 2002,62.95
AMZN,Mar 1 2002,64.86
AMZN,Apr 1 2002,67.7
AMZN,May 1 2002,67.27
AMZN,Jun 1 2002,63.11
AMZN,Jul 1 2002,63.54
AMZN,Aug 1 2002,63.37
AMZN,Sep 1 2002,61.09
AMZN,Oct 1 2002,57.29
AMZN,Nov 1 2002,60.03
AMZN,Dec 1 2002,63.44
AMZN,Jan 1 2003,69.55
AMZN,Feb 1 2003,72.78
AMZN,Mar 1 2003,79.77
AMZN,Apr 1 2003,79.75
AMZN,May 1 2003,81.81
AMZN,Jun 1 2003,90.14
AMZN,Jul 1 2003,84.59
AMZN,Aug 1 2003,87.37
AMZN,Sep 1 2003,92.11
AMZN,Oct 1 2003,90.75
AMZN,Nov 1 2003,97.19
AMZN,Dec 1 2003,101.42
AMZN,Jan 1 2004,104.8
AMZN,Feb 1 2004,98.08
AMZN,Mar 1 2004,106.16
AMZN,Apr 1 2004,111.84
AMZN,May 1 2004,119.23
AMZN,Jun 1 2004,130.41
AMZN,Jul 1 2004,143.82
AMZN,Aug 1 2004,152.67
AMZN,Sep 1 2004,157.95
AMZN,Oct 1 2004,159.57
AMZN,Nov 1 2004,174.7
AMZN,Dec 1 2004,180.56
AMZN,Jan 1 2005,189.86
AMZN,Feb 1 2005,186.43
AMZN,Mar 1 2005,204.7
AMZN,Apr 1 2005,192.67
AMZN,May 1 2005,195.33
AMZN,Jun 1 2005,194.32
AMZN,Jul 1 2005,209.38
AMZN,Aug 1 2005,204.43
AMZN,Sep 1 2005,221.79
AMZN,Oct 1 2005,227.36
AMZN,Nov 1 2005,240.16
AMZN,Dec 1 2005,247.75
AMZN,Jan 1 2006,251.66
AMZN,Feb 1 2006,275.03
AMZN,Mar 1 2006,272.88
AMZN,Apr 1 2006,252.36
AMZN,May 1 2006,237.15
AMZN,Jun 1 2006,224.33
AMZN,Jul 1 2006,221.91
AMZN,Aug 1 2006,241.48
AMZN,Sep 1 2006,265.92
AMZN,Oct 1 2006,292.52
AMZN,Nov 1 2006,302.64
AMZN,Dec 1 2006,293.24
AMZN,Jan 1 2007,318.09
AMZN,Feb 1 2007,337.74
AMZN,Mar 1 2007,317.54
AMZN,Apr 1 2007,340.77
AMZN,May 1 2007,324.79
AMZN,Jun 1 2007,341.28
AMZN,Jul 1 2007,351.71
AMZN,Aug 1 2007,333.85
AMZN,Sep 1 2007,330.89
AMZN,Oct 1 2007,323.85
AMZN,Nov 1 2007,299.86
AMZN,Dec 1 2007,279.56
AMZN,Jan 1 2008,261.34
AMZN,Feb 1 2008,243.02
AMZN,Mar 1 2008,246.09
AMZN,Apr 1 2008,230.53
AMZN,May 1 2008,242.3
AMZN,Jun 1 2008,230.65
AMZN,Jul 1 2008,225.76
AMZN,Aug 1 2008,218.52
AMZN,Sep 1 2008,218.31
AMZN,Oct 1 2008,233.86
AMZN,Nov 1 2008,233.47
AMZN,Dec 1 2008,244.98
AMZN,Jan 1 2009,266.37
AMZN,Feb 1 2009,280.18
AMZN,Mar 1 2009,260.78
AMZN,Apr 1 2009,262.88
AMZN,May 1 2009,275.57
AMZN,Jun 1 2009,298.16
AMZN,Jul 1 2009,312.98
AMZN,Aug 1 2009,301.56
AMZN,Sep 1 2009,311.9
AMZN,Oct 1 2009,317.22
AMZN,Nov 1 2009,323.03
AMZN,Dec 1 2009,346.32
