date,precipitation,temp_max,temp_min,wind,weather
2012-03-03,0,9.1,0.8,2.3,sun
2012-03-04,6.1,10.3,4.4,5.2,rain
2012-03-05,20.8,9.3,4.6,7.4,rain
2012-03-06,5.3,11,4.2,1.3,rain
2012-03-07,0,14.1,6.1,1.6,fog
2012-03-08,7.8,9.5,3.7,4.4,rain
2012-03-09,0,13.8,7.7,8.1,fog
2012-03-10,4.3,12.3,4.6,4.1,rain
2012-03-11,0,10.6,3.9,1.3,sun
2012-03-12,10.2,13.6,7.5,3.9,rain
2012-03-13,19.1,12.6,5.4,1.9,rain
2012-03-14,17.9,14.1,9.2,6.7,rain
2012-03-15,15.3,12.5,8.1,0.6,rain
2012-03-16,0,10.3,5,8.1,fog
2012-03-17,0,10.7,2.6,2.7,sun
2012-03-18,12.4,10.8,5.7,3,rain
2012-03-19,0,14.2,6.7,6.7,sun
2012-03-20,16.9,14.5,9.8,5.1,rain
2012-03-21,5.1,16.3,9,1.3,rain
2012-03-22,15.7,11.9,4.8,8.1,rain
2012-03-23,7.9,15.4,8.8,2.9,rain
2012-03-24,6.4,14,8.3,1.6,rain
2012-03-25,0,15,7.7,3.7,sun
2012-03-26,0,14.8,7.3,6.4,fog
2012-03-27,0,16,9.4,1.6,sun
2012-03-28,21.7,13.4,8.5,2.6,rain
2012-03-29,21.8,15.4,8,4.3,rain
2012-03-30,0,15.4,10.8,3.9,fog
2012-03-31,19.1,16.8,9.9,2.6,rain
2012-04-01,0,16.2,9.1,7.9,sun
2012-04-02,0,14.7,7.2,3.9,sun
2012-04-03,14.1,15.1,7.8,7.4,rain
2012-04-04,16,17.9,10.2,2.2,rain
2012-04-05,13.7,15.7,10.3,5,rain
2012-04-06,4.8,14.2,9.4,1.6,rain
2012-04-07,3.7,18.1,13.3,2.4,rain
2012-04-08,0,14.2,6.9,6.5,sun
2012-04-09,1.4,19.1,11.7,5.4,drizzle
2012-04-10,16.5,14.3,10.8,3.8,rain
2012-04-11,5,14.6,10.5,6.5,rain
2012-04-12,0,14.2,6.5,5.4,sun
2012-04-13,13.6,14.2,5.9,2.1,rain
2012-04-14,21.4,15.7,9.3,0.5,rain
2012-04-15,0,16.1,10.8,8,fog
2012-04-16,5,19.1,10.8,1.1,rain
2012-04-17,16,16,7.8,3.8,rain
2012-04-18,10.7,18,11.1,1.7,rain
2012-04-19,10,15.6,12.1,6.8,rain
2012-04-20,8.2,21.1,15.1,3.3,rain
2012-04-21,9.8,20.2,14.3,3.6,rain
2012-04-22,7.8,20.8,13.7,1.2,rain
2012-04-23,0,20.8,16.2,5,sun
2012-04-24,5.3,19.9,11.8,1.7,rain
2012-04-25,18.7,17.6,12.6,1.2,rain
2012-04-26,0,17.8,13.9,6.2,sun
2012-04-27,6.7,17.3,10.1,5.6,rain
2012-04-28,12.1,18.7,12.9,7.3,rain
2012-04-29,10.5,17.2,10.8,6,rain
2012-04-30,0,20,14.9,1.6,sun
2012-05-01,0,19.9,15.7,1.2,fog
2012-05-02,13.7,19.2,12.7,0.8,rain
2012-05-03,0,20,13.9,5.6,fog
2012-05-04,7.3,17.2,10.9,7.8,rain
2012-05-05,0,22.4,17.6,6.1,sun
2012-05-06,0,21,16.7,4.3,fog
2012-05-07,0,22.2,18.1,1,fog
2012-05-08,0,21.1,14.9,2.5,fog
2012-05-09,0,20.5,13.2,4.5,fog
2012-05-10,0,19.4,14.4,6.6,fog
2012-05-11,0,19.2,12.9,0.8,sun
2012-05-12,0.8,22.5,16.8,4,drizzle
2012-05-13,19.9,22.8,15.9,2.4,rain
2012-05-14,0,21.3,17.6,1.8,fog
2012-05-15,12.4,22.5,14.3,6.9,rain
2012-05-16,0,20.9,16.2,2.2,fog
2012-05-17,16.7,23,18.5,3.1,rain
2012-05-18,15.2,21.7,15.3,3.8,rain
2012-05-19,0.5,21.8,18.2,0.8,drizzle
2012-05-20,0,22.4,17.8,7.8,sun
2012-05-21,5.2,19.6,14.2,8.5,rain
2012-05-22,13.3,24,16,4.3,rain
2012-05-23,13.3,20.2,14.4,5.9,rain
2012-05-24,0,24,16,5.7,sun
2012-05-25,15.7,23.2,18,7.8,rain
2012-05-26,0,20.4,15,5.2,sun
2012-05-27,0,25,19,0.8,sun
2012-05-28,0,25.5,19.3,6.3,fog
2012-05-29,0,21.2,16.8,3.7,sun
2012-05-30,0,23.3,18.8,8.2,fog
2012-05-31,17.1,22.7,18.3,1,rain
2012-06-01,5.1,24.9,21.3,1.1,rain
2012-06-02,16.1,22.3,15.9,0.8,rain
2012-06-03,0,24.8,20.7,1.8,sun
2012-06-04,0,21.1,14.6,0.9,fog
2012-06-05,16.7,24.8,18.3,5.5,rain
2012-06-06,6.2,21.7,13.3,2.7,rain
2012-06-07,0,21.5,15.7,7,sun
2012-06-08,0,22.5,15.1,1.9,sun
2012-06-09,2.6,24.1,20.2,5.3,rain
2012-06-10,0,24.3,16.9,2.8,sun
2012-06-11,0,20.9,13.2,3.3,sun
2012-06-12,0,20.7,12.7,5.5,fog
2012-06-13,3,21.6,17.4,2.5,rain
2012-06-14,6.9,24.5,17.5,2.5,rain
2012-06-15,0,23.3,16.5,7.1,sun
2012-06-16,0,25,19.8,2.7,sun
2012-06-17,7.1,25.9,22,5.6,rain
2012-06-18,0,22.7,16,7.4,sun
2012-06-19,0,26.6,20.7,1,sun
2012-06-20,5.4,22.3,15.8,8.4,rain
2012-06-21,0,23.6,19.8,3.2,sun
2012-06-22,0,21,15.3,5.2,sun
2012-06-23,0,21,13,5.9,sun
2012-06-24,0,21.9,18.2,1.5,fog
2012-06-25,7.4,22.8,15.8,2.5,rain
2012-06-26,12.4,22.4,17.4,0.7,rain
2012-06-27,16.5,21.9,17.1,5.5,rain
2012-06-28,0,23.5,19.7,1,fog
2012-06-29,0,24.5,18.2,7.1,sun
2012-06-30,0,26.9,23.2,5.3,sun
2012-07-01,0,23.6,15.9,4.8,sun
2012-07-02,4.6,26.6,18.3,2.9,rain
2012-07-03,9.9,26.3,18.4,4,rain
2012-07-04,0,21.4,16.7,0.9,sun
2012-07-05,0,25.3,17.5,6.5,sun
2012-07-06,0,21.8,17.8,6.7,fog
2012-07-07,1.6,24,16.8,6.4,drizzle
2012-07-08,11.8,25.8,17.6,6.5,rain
2012-07-09,4.9,21.5,15.6,8.3,rain
2012-07-10,11,24.3,18.4,5.6,rain
2012-07-11,0,25.6,21.5,1.8,sun
2012-07-12,0,21.3,14.8,6.7,sun
2012-07-13,0,22,18.3,7.5,fog
2012-07-14,0,26.7,22.1,1.8,fog
2012-07-15,13.1,22.6,19.1,7.8,rain
2012-07-16,13.6,24.3,19.2,1.6,rain
2012-07-17,19.5,25,17.5,1.8,rain
2012-07-18,0,25.6,18.9,7.3,sun
2012-07-19,15.4,22.3,17.6,2.1,rain
2012-07-20,0,21.7,14.7,6.2,sun
2012-07-21,2.4,25.8,22.1,6.8,drizzle
2012-07-22,0,24.8,18.8,7,fog
2012-07-23,0,22,14.6,4.4,fog
2012-07-24,0,26.2,19.7,6.1,fog
2012-07-25,0,20.9,14.8,4,fog
2012-07-26,8.9,23.9,19.6,0.9,rain
2012-07-27,0,22.1,15,7.5,sun
2012-07-28,3.5,25.6,17.4,6.3,rain
2012-07-29,19.1,23.3,19,4.6,rain
2012-07-30,0,23,18,1.5,sun
2012-07-31,0,23.6,15.4,2.4,fog
2012-08-01,14.1,22.4,18.1,7.3,rain
2012-08-02,0,20.9,12.4,1.3,sun
2012-08-03,17.5,25.6,19.6,3.7,rain
2012-08-04,19.4,19.8,13.1,4,rain
2012-08-05,19.1,22.7,14.4,2.1,rain
2012-08-06,4.8,21.7,16.3,5.9,rain
2012-08-07,0,20.1,16.5,6.9,fog
2012-08-08,0,20.2,12.9,6.4,sun
2012-08-09,20.8,19.8,13.7,6.8,rain
2012-08-10,21.1,21.7,17.8,5.7,rain
2012-08-11,2.4,20,14.1,7.2,drizzle
2012-08-12,12.3,24.7,20.3,4.2,rain
2012-08-13,21.4,18.9,14.5,7.8,rain
2012-08-14,0,20.4,16.9,8.1,fog
2012-08-15,0.3,20.9,15.9,3,drizzle
2012-08-16,0,22.7,17.3,2.9,sun
2012-08-17,0,20.2,13.5,2.6,sun
2012-08-18,0,21.5,17.3,1.9,sun
2012-08-19,0,22.7,14.7,7.5,fog
2012-08-20,0,19.2,12.7,7.9,sun
2012-08-21,0,21.3,14.9,3.2,fog
2012-08-22,15.5,20.4,14.5,0.6,rain
2012-08-23,12.6,20.8,15.6,4.4,rain
2012-08-24,18.2,19.2,11.1,6.5,rain
2012-08-25,0.5,19.8,12.4,0.8,drizzle
2012-08-26,0,19.6,11.4,1.8,fog
2012-08-27,0,21.9,14.3,3.6,fog
2012-08-28,14.5,18.1,10.3,1.3,rain
2012-08-29,0,19.7,11.9,5,fog
2012-08-30,5.6,18.1,13.8,6,rain
2012-08-31,9.4,20,11.9,1.2,rain
2012-09-01,4.7,17.5,13.4,8.5,rain
2012-09-02,1.6,18.6,13.1,6.7,drizzle
2012-09-03,0,18.6,10.4,5.6,sun
2012-09-04,0,16.4,8.6,4.9,sun
2012-09-05,14,19,11.2,3.3,rain
2012-09-06,0,20.3,12.6,6.9,fog
2012-09-07,9.3,18.6,14.5,4.3,rain
2012-09-08,17.8,21.4,17.1,4.8,rain
2012-09-09,0,20.4,14.4,3.9,fog
2012-09-10,0,20.9,14.5,5,sun
2012-09-11,0,15.9,11,4.5,fog
2012-09-12,0,17.4,13.5,6.9,sun
2012-09-13,0,17.1,13.4,5.5,fog
2012-09-14,0,16.6,11.9,3.7,fog
2012-09-15,0.2,20.4,15.9,3.3,drizzle
2012-09-16,15,15.6,11.2,5.5,rain
2012-09-17,10.9,17.5,13.2,1.5,rain
2012-09-18,21.4,15.4,8.4,8.5,rain
2012-09-19,10.6,15.5,11.9,2.9,rain
2012-09-20,0,14.5,7.2,7.2,sun
2012-09-21,15,19.3,11.7,7.4,rain
2012-09-22,0,17.7,10.4,3.9,fog
2012-09-23,11.2,15.2,7,7.8,rain
2012-09-24,0,14.8,8.1,3.1,fog
2012-09-25,12.8,18.1,14.2,7.5,rain
2012-09-26,0,18.8,13.8,6.9,sun
2012-09-27,9.9,17.7,11.6,2.5,rain
2012-09-28,6.2,14.3,10.1,6.3,rain
2012-09-29,12.2,15.3,10.4,1.3,rain
2012-09-30,0,13.3,7.9,7.7,sun
2012-10-01,15.1,18.3,11.7,6.7,rain
2012-10-02,0,15.5,7.5,6.1,fog
2012-10-03,15.2,17.3,8.9,8.4,rain
2012-10-04,0,13.9,8,0.6,fog
2012-10-05,17.4,15.9,9.3,5,rain
2012-10-06,1.8,13.8,6.5,1,drizzle
2012-10-07,0,13,5.6,5,sun
2012-10-08,0,15.1,10.8,4.2,fog
2012-10-09,15.4,11.6,6.1,3.7,rain
2012-10-10,10.2,14.7,10.4,6.6,rain
2012-10-11,3.6,14.3,6.8,8.2,rain
2012-10-12,5.7,12.5,6.6,7,rain
2012-10-13,0.6,14.5,10,1.5,drizzle
2012-10-14,0,14.9,8.2,1.9,sun
2012-10-15,2.1,13.1,5.9,3.5,drizzle
2012-10-16,0,11.3,7,6.1,fog
2012-10-17,17.8,14.4,8.4,1,rain
2012-10-18,3.6,15.2,10.2,4.8,rain
2012-10-19,16.1,12.2,4.8,7.9,rain
2012-10-20,16.4,12.3,6.4,6.4,rain
2012-10-21,7,11.7,5.8,4.2,rain
2012-10-22,20.9,11.1,5.4,3.4,rain
2012-10-23,0,13,7.9,1.9,fog
2012-10-24,9,13.5,5.9,8.2,rain
2012-10-25,14,11.9,6.1,3.1,rain
2012-10-26,0,12.9,6,1.1,sun
2012-10-27,0,10.4,2.7,7.8,sun
2012-10-28,10,12,3.7,5.9,rain
2012-10-29,6.1,14.5,7.6,0.7,rain
2012-10-30,17.5,8.7,3.7,2.9,rain
2012-10-31,0,8.6,2.9,5.5,sun
2012-11-01,14.1,12.6,6.8,7.1,rain
2012-11-02,0,11.6,6.1,5.6,fog
2012-11-03,6.1,8.6,2.3,5.3,rain
2012-11-04,12.3,13.6,5.6,7.8,rain
2012-11-05,21,11.7,7.4,2.2,rain
2012-11-06,7.2,7.7,1.3,6.6,rain
2012-11-07,7.5,8.1,2.6,3.7,rain
2012-11-08,10.8,7.9,1.9,4.7,rain
2012-11-09,10.6,8.7,3.2,0.7,rain
2012-11-10,3.9,11.6,5.9,3.8,rain
2012-11-11,15,8,2.1,5.7,rain
2012-11-12,0,10.5,4.4,7,sun
2012-11-13,2.8,10.1,1.8,6.3,rain
2012-11-14,13.3,8.7,4.7,1.2,rain
2012-11-15,20.8,7.7,1,2.6,rain
2012-11-16,2,7.2,0.7,8.2,drizzle
2012-11-17,11.7,9.2,5.4,0.9,rain
2012-11-18,0,6.9,2.7,2.9,sun
2012-11-19,2.8,10.6,5.1,3.6,rain
2012-11-20,20.4,10.1,6,1.1,rain
2012-11-21,0,6,-2.2,7.7,fog
2012-11-22,9.6,9.9,6,0.6,rain
2012-11-23,8.4,10.1,2.9,2.4,rain
2012-11-24,19.8,7.4,2.5,1.5,rain
2012-11-25,7.4,5.7,-0.8,2,rain
2012-11-26,15.5,9.4,1.4,7,rain
2012-11-27,5.8,10.1,3.6,7.2,rain
2012-11-28,19.1,6.5,-1.1,2.5,rain
2012-11-29,14,8.3,4.7,7.7,rain
2012-11-30,8.6,7.6,3.8,6.7,rain
2012-12-01,13.3,8.8,2.7,8.4,rain
2012-12-02,17.9,6.9,-1.5,8.2,rain
2012-12-03,0,8.9,1.3,2.2,fog
2012-12-04,0,9.9,3.1,2.9,fog
2012-12-05,13.3,8.3,2,2.9,rain
2012-12-06,5.3,6.9,-0.9,2.9,rain
2012-12-07,19.1,7.8,3.7,0.8,rain
2012-12-08,19.3,7.9,4.3,5.2,rain
2012-12-09,0,7,0.2,1.7,fog
2012-12-10,16.4,9.3,1.7,6.5,rain
2012-12-11,5,8.3,3.7,5.5,rain
2012-12-12,10.4,8.1,2.8,1.8,rain
2012-12-13,11.9,10.1,4.3,6.6,rain
2012-12-14,2,5.9,-0.2,6.8,drizzle
2012-12-15,1.7,6.5,1.7,0.8,drizzle
2012-12-16,0,5.4,-0.3,7.7,sun
2012-12-17,6.8,5.1,-1.5,0.7,rain
2012-12-18,11.5,7.7,3.3,2.6,rain
2012-12-19,1.7,7.5,0.5,4.2,drizzle
2012-12-20,0.3,7.6,0.3,4,drizzle
2012-12-21,15.2,7.9,1.8,3.8,rain
2012-12-22,7.3,5.4,-1.3,6.7,rain
2012-12-23,19.3,8.1,4.6,7.7,rain
2012-12-24,19,5.1,0.8,6.7,rain
2012-12-25,9.2,8.2,4.5,3.6,rain
2012-12-26,0,8.9,1.9,8.5,fog
2012-12-27,0,9,4.6,5.3,fog
2012-12-28,0,8.6,4.5,5.7,fog
2012-12-29,12.3,7.9,2.6,1.6,rain
2012-12-30,0,4.8,-1.9,5.3,fog
2012-12-31,0,5.4,0.9,2.2,fog
2013-01-01,15.2,4.5,-0.8,6.4,snow
2013-01-02,8.2,8.4,4.2,2.9,rain
2013-01-03,1.1,8.8,0.8,0.9,drizzle
2013-01-04,14.7,8.2,0.5,6,rain
2013-01-05,8,6.3,-2.2,0.8,rain
2013-01-06,11.3,9.1,1.1,2.5,rain
2013-01-07,6.8,6.4,1.5,4.7,rain
2013-01-08,18.9,8.2,-0.1,1.8,rain
2013-01-09,18.9,7.3,-0.1,7.1,rain
2013-01-10,0,5.2,-3,0.8,sun
2013-01-11,14.2,8.7,3.6,7.2,rain
2013-01-12,1.1,8.9,2.6,5.7,drizzle
2013-01-13,16.3,4.7,0.5,0.7,snow
2013-01-14,0,6.1,1.7,1,sun
2013-01-15,8.7,9.4,2.5,0.6,rain
2013-01-16,0.7,7.6,3.8,0.6,drizzle
2013-01-17,15.8,9.5,2.1,0.7,rain
2013-01-18,0,6.3,1.7,0.6,fog
2013-01-19,0,6.3,1.2,6.1,fog
2013-01-20,0,6,-0.5,6.1,sun
2013-01-21,12.5,7.8,2.3,1.2,rain
2013-01-22,9.3,4.7,0.8,6.1,snow
2013-01-23,7.4,7.5,2.6,0.7,rain
2013-01-24,0,9.9,3.9,2,sun
2013-01-25,19.9,4.9,-1.5,0.6,snow
2013-01-26,15.4,6.8,2,7.2,rain
2013-01-27,12.4,9.6,4.9,2.1,rain
2013-01-28,2,7.7,0.4,8.3,drizzle
2013-01-29,16.6,6.8,-0.6,6.7,rain
2013-01-30,0,8.1,0.8,7.5,sun
2013-01-31,17.2,9.6,1.3,0.7,rain
2013-02-01,0,8.2,1.5,7.6,sun
2013-02-02,0,10.2,4.3,1.3,fog
2013-02-03,21.8,9,2.6,3.6,rain
2013-02-04,0,8.2,2.7,3.1,sun
2013-02-05,8.3,7,0.2,5.7,rain
2013-02-06,3.4,10.7,5.2,2.7,rain
2013-02-07,1.1,8.8,1.1,6.5,drizzle
2013-02-08,10.4,6.3,2.2,6.5,rain
2013-02-09,8,11,6,3,rain
2013-02-10,20.7,9.2,4,6.1,rain
2013-02-11,16.9,7.8,3.2,8.1,rain
2013-02-12,5.6,8.3,2.9,4.4,rain
2013-02-13,11.3,11.1,5.2,6.4,rain
2013-02-14,14.2,7.1,0.3,1,rain
2013-02-15,4.4,11.4,4.9,7.7,rain
2013-02-16,17.6,11.8,3.7,7.9,rain
2013-02-17,11,8.2,2.3,3.8,rain
2013-02-18,2.4,11.4,3.8,7.7,drizzle
2013-02-19,11.8,12.1,8.1,4.3,rain
2013-02-20,19.7,8,3.8,2.9,rain
2013-02-21,17.6,12.8,4.4,2.8,rain
2013-02-22,0,9.6,3.6,0.9,fog
2013-02-23,7.8,7.9,0.4,2.8,rain
2013-02-24,10.4,10.2,4.1,6.1,rain
2013-02-25,4.9,13.1,8.3,2.2,rain
2013-02-26,2.6,11.3,3.3,4,rain
2013-02-27,12.8,12,3.7,7,rain
2013-02-28,15.6,12.4,6.8,2.1,rain
2013-03-01,12.3,9.3,1.8,3.3,rain
2013-03-02,12.4,9.3,3.4,7.5,rain
2013-03-03,0,12.5,7.1,3.1,sun
2013-03-04,5,13,7.3,7.4,rain
2013-03-05,10.6,10.5,2.3,5.9,rain
2013-03-06,0,9.4,3.6,0.7,sun
2013-03-07,11.9,13.6,8.5,0.8,rain
2013-03-08,1.9,12.1,3.7,7.4,drizzle
2013-03-09,2.4,10.1,6.4,2.8,drizzle
2013-03-10,0,14.3,9.7,5.9,sun
2013-03-11,15.6,13.9,10.1,8.4,rain
2013-03-12,0,15.3,7.6,0.5,fog
2013-03-13,0,11.9,5.2,1.9,fog
2013-03-14,1.8,11.5,3.9,8,drizzle
2013-03-15,0,12.9,9,7.7,sun
2013-03-16,0,14.3,10.3,4.1,sun
2013-03-17,0,14.5,9.6,7,sun
2013-03-18,8.2,11.2,4,0.8,rain
2013-03-19,0,11.4,5.3,8.5,fog
2013-03-20,16.4,15.5,11.2,3.2,rain
2013-03-21,12.5,16,11.8,4.6,rain
2013-03-22,12.3,16.8,11.4,7.5,rain
2013-03-23,0,12.8,9,2.7,sun
2013-03-24,14.6,13.1,9.6,5.7,rain
2013-03-25,5.5,14.5,7.3,4.8,rain
2013-03-26,2.7,13.9,6.1,3.1,rain
2013-03-27,20.9,15.1,8,1,rain
2013-03-28,9.1,16.3,11.1,4.2,rain
2013-03-29,1.3,16.7,13,4.1,drizzle
2013-03-30,7,14.9,9.8,2.3,rain
2013-03-31,2.4,16.6,11.9,5.5,drizzle
2013-04-01,0,18.2,12.2,4.9,sun
2013-04-02,8.9,14.8,6.5,0.7,rain
2013-04-03,0,17.3,10.4,3,fog
2013-04-04,2.2,17.1,10,2,drizzle
2013-04-05,17.5,18.8,11.5,7.2,rain
2013-04-06,14.7,19,14.6,7.5,rain
2013-04-07,0,14.2,8.4,5.3,sun
2013-04-08,6.9,15.1,6.9,6,rain
2013-04-09,0,17.1,11.7,2.8,sun
2013-04-10,1.9,18.7,12.5,4.6,drizzle
2013-04-11,0,19.3,14.6,1.4,sun
2013-04-12,0,16.7,10.7,1.1,sun
2013-04-13,0,15.3,9.4,1.5,fog
2013-04-14,21.3,16.7,10.8,4.5,rain
2013-04-15,10.3,18.6,10.1,5.8,rain
2013-04-16,10.5,17,10.2,0.9,rain
2013-04-17,16.5,19.6,14.2,4.9,rain
2013-04-18,0,18.4,12.6,1.1,sun
2013-04-19,0,20.8,17.2,3.9,fog
2013-04-20,1,15.9,9.7,4.4,drizzle
2013-04-21,0,16.8,11.8,3.3,sun
2013-04-22,0,15.7,11.9,1.4,fog
2013-04-23,19.8,17.3,11.5,2.7,rain
2013-04-24,0,18.9,10.7,7.7,fog
2013-04-25,11.4,17.3,11,7.8,rain
2013-04-26,21.4,18.2,12.2,4.5,rain
2013-04-27,0,21.3,14.4,1.7,sun
2013-04-28,3.5,21.8,17.2,6.9,rain
2013-04-29,21.3,19.7,15,7.2,rain
2013-04-30,17.6,18.4,12.2,3.6,rain
2013-05-01,0,19.1,12.2,0.6,fog
2013-05-02,0,18.2,10.8,6.7,sun
2013-05-03,0,20.6,14.7,7.4,sun
2013-05-04,0,19.1,15.3,5.1,sun
2013-05-05,3.9,22.4,15.1,1.8,rain
2013-05-06,0,18.5,15,4.8,sun
2013-05-07,0,19.1,12.7,8.3,fog
2013-05-08,3.8,17.6,9.8,2.8,rain
2013-05-09,0,22.6,15.2,7.5,fog
2013-05-10,17.5,20.3,16.5,3.9,rain
2013-05-11,0,21.3,14.5,6.9,sun
2013-05-12,7.4,19,13.8,0.6,rain
2013-05-13,0,21.3,14.8,5.5,sun
2013-05-14,15,18.5,12.7,8.4,rain
2013-05-15,0,21.2,15.2,6.9,fog
2013-05-16,6.9,23.8,18.9,0.7,rain
2013-05-17,0,23.9,19.1,4.4,fog
2013-05-18,15.6,21.9,14.9,6,rain
2013-05-19,15.7,21.5,13.8,6.4,rain
2013-05-20,10.4,22.2,15.1,8.2,rain
2013-05-21,12.3,24.3,20.5,3.7,rain
2013-05-22,0,23.2,19.2,7.6,sun
2013-05-23,0,24.5,19.4,3.8,sun
2013-05-24,16.1,23.6,16.5,4.6,rain
2013-05-25,16.5,20.4,15.9,3.7,rain
2013-05-26,0,24.6,17.6,4.5,fog
2013-05-27,0,24.3,17.2,7.3,fog
2013-05-28,0,22,15.7,0.6,sun
2013-05-29,0,19.6,13.3,7.7,fog
2013-05-30,7.8,20.8,17.2,2,rain
2013-05-31,0,23.5,18.8,1.7,sun
2013-06-01,0,20.1,14.4,4.7,sun
2013-06-02,0,22.5,16.8,7.4,sun
2013-06-03,0,25.8,18.1,7.4,fog
2013-06-04,0,24,19.8,7.4,sun
2013-06-05,0,22.9,18.5,7.1,sun
2013-06-06,0,24.9,16.5,2.1,fog
2013-06-07,2,26.1,20.8,7.1,drizzle
2013-06-08,0,24.3,17.7,5.4,fog
2013-06-09,0,21.9,13.6,2.4,fog
2013-06-10,9.7,24.9,17.2,7.4,rain
2013-06-11,0,20.5,15,8,fog
2013-06-12,19.2,24.8,21,2.1,rain
2013-06-13,0,24.3,18.9,2.7,fog
2013-06-14,0,21.8,14,4.5,sun
2013-06-15,5.9,25,18.7,5.2,rain
2013-06-16,0,21.6,13.4,4.6,sun
2013-06-17,14,23.9,18.3,4.5,rain
2013-06-18,4.1,22.3,15.6,4.3,rain
2013-06-19,0.9,22.9,17,2.6,drizzle
2013-06-20,0,22.6,14.5,8.3,sun
2013-06-21,18.5,25.3,16.9,2.1,rain
2013-06-22,0,25.1,19.9,7.3,fog
2013-06-23,20.3,26.8,21,1.4,rain
2013-06-24,21.3,23.8,19.4,2.8,rain
2013-06-25,19.4,21.7,17.7,5,rain
2013-06-26,10.3,26.4,18.6,4.2,rain
2013-06-27,0,21.3,16.3,7.5,fog
2013-06-28,0,21.8,15.2,6.7,fog
2013-06-29,20.2,21.4,13.2,5.9,rain
2013-06-30,13.3,21,15.1,2.3,rain
2013-07-01,8.1,21.3,17.1,6.9,rain
2013-07-02,0,22.8,15,5,fog
2013-07-03,19.2,22.7,17.3,3.6,rain
2013-07-04,0,25.2,18,3,sun
2013-07-05,0,24,19.1,5.7,fog
2013-07-06,0,26.2,22.5,3.1,fog
2013-07-07,0,21.4,15.1,7.5,sun
2013-07-08,0,22.4,16.5,7.8,sun
2013-07-09,0,26.5,19.4,7.7,sun
2013-07-10,0,21.7,15.1,4.2,sun
2013-07-11,17.4,25.4,17.3,5,rain
2013-07-12,18.2,22,17.1,4.7,rain
2013-07-13,19.4,21.6,14.2,5.4,rain
2013-07-14,4,24.2,19.8,7.3,rain
2013-07-15,0,21.2,16.4,4.6,fog
2013-07-16,0,22.4,14.3,2,sun
2013-07-17,0,22.1,14.8,5.8,sun
